popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,monthly_listeners,followers,wikidata_name,inception_year,genre_qids,genre_labels,genre_families,record_label_qids,record_label_names,member_qids,member_names,enwiki_title,mapping_tier,fua_code,study_city_label,population,mapped_fua,has_genre,has_inception_year,formation_decade
1,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Q45188,92034104,64732379,Coldplay,1999.0,Q11366|Q37073,alternative rock|pop music,"Pop, soul and R&B|Rock and indie",Q193023|Q202440|Q208909|Q5447280,Atlantic Records|Capitol Records|Fierce Panda Records|Parlophone,Q601617|Q712860|Q822029|Q822036,Chris Martin|Guy Berryman|Jonny Buckland|Will Champion,Coldplay,strict,UK001F,London,12666099.0,True,True,True,1990
2,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,Q170599,52301870,35028298,Arctic Monkeys,2002.0,Q11366|Q183504|Q1899347|Q206159|Q211573,alternative rock|garage rock|indie rock|post-punk revival|psychedelic rock,Punk and new wave|Rock and indie,Q1238400,Domino Recording Company,Q2015147|Q2148580|Q2737111|Q315643|Q458381,Alex Turner|Andy Nicholson|Jamie Cook|Matt Helders|Nick O'Malley,Arctic Monkeys,strict,UK010F,Sheffield,1217504.0,True,True,True,2000
3,1dfeR4HaWDbWqFHLkxsg1d,Queen,Q15862,51601234,58004701,Queen,1970.0,Q1133657|Q11399|Q217467|Q38848|Q484641|Q49451|Q76092|Q83270,art rock|glam rock|hard rock|heavy metal music|pop rock|progressive rock|rock music|traditional heavy metal,"Metal|Pop, soul and R&B|Rock and indie",Q183412|Q190585|Q193023|Q208909|Q3629023|Q387539|Q726251,Capitol Records|EMI|EMI Records|Elektra|Hollywood Records|Island Records|Parlophone,Q15869|Q15873|Q15880|Q192103,Brian May|Freddie Mercury|John Deacon|Roger Taylor,Queen (band),strict,UK001F,London,12666099.0,True,True,True,1970
4,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,Q106648,50959935,15546243,Fleetwood Mac,1967.0,Q11399|Q1650296|Q193355|Q37073|Q484641|Q83270|Q9759,blues|blues rock|hard rock|instrumental rock|pop music|pop rock|rock music,"Other genres|Pop, soul and R&B|Rock and indie",Q1347984|Q165711|Q183387|Q216364|Q3233924|Q645889|Q843402|Q885732,Blue Horizon|CBS Records|Columbia Records|Epic Records|Reprise Records|Sanctuary Records|Sire|Warner Bros. Records,,,Fleetwood Mac,strict,UK001F,London,12666099.0,True,True,True,1960
5,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,Q146027,45724043,41728665,One Direction,2010.0,Q211756|Q484641|Q739138,dance-pop|pop rock|teen pop,"Pop, soul and R&B",Q183387|Q2358400|Q38903|Q56760250|Q7659636,Columbia Records|Legacy Recordings|Sony Music|Syco Music|Universal Music Group,Q2756349|Q3624971|Q3626950|Q3626966|Q775231,Harry Styles|Liam Payne|Louis Tomlinson|Niall Horan|Zayn Malik,One Direction,strict,UK001F,London,12666099.0,True,True,True,2010
6,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,Q44190,43168156,16613975,,1985.0,Q1051843|Q11366|Q1641839|Q189045|Q217467|Q22991878|Q25094849|Q325504,Britpop|alternative rock|art pop|art rock|chamber pop|electronic rock|experimental rock|neo-prog,"Electronic and dance|Other genres|Pop, soul and R&B|Rock and indie",Q1123947|Q128280|Q193023|Q208909,ATO Records|Capitol Records|Parlophone|XL Recordings,Q188668|Q286410|Q842263|Q842267|Q842850,Colin Greenwood|Ed O'Brien|Jonny Greenwood|Philip Selway|Thom Yorke,Radiohead,strict,UK560F,Oxford,606748.0,True,True,True,1980
7,5NGO30tJxFlKixkPSgXcFE,The Police,Q178095,39887109,8458469,The Police,1977.0,Q11399|Q187760|Q598929|Q7308175,new wave|post-punk|reggae rock|rock music,Other genres|Punk and new wave|Rock and indie,Q277626|Q5998908,A&M Records|Illegal Records,Q315711|Q315758|Q483203|Q723047,Andy Summers|Henry Padovani|Stewart Copeland|Sting,The Police,strict,UK001F,London,12666099.0,True,True,True,1970
8,2DaxqgrOhkeH0fpeiQq2f4,Oasis,Q382890,39676473,13941515,Oasis,1991.0,Q11366|Q11399|Q183504|Q189045|Q703778|Q842324,Britpop|alternative rock|indie pop|indie rock|neo-psychedelia|rock music,"Other genres|Pop, soul and R&B|Rock and indie",Q1139341|Q183387|Q216364|Q330629|Q614999|Q645889,Big Brother Recordings|Columbia Records|Creation Records|Epic Records|Reprise Records|Sony Music,Q1195785|Q193459|Q216708|Q2455570|Q345348|Q353388|Q522988|Q5547925|Q7436842|Q932502,Alan White|Andy Bell|Chris Sharrock|Gem Archer|Liam Gallagher|Noel Gallagher|Paul Arthurs|Paul McGuigan|Scott McLeod|Tony McCarroll,Oasis (band),strict,UK008F,Manchester,3595966.0,True,True,True,1990
9,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,Q189991,38173160,16369649,Gorillaz,1998.0,Q11366|Q11401|Q183504|Q188450|Q205560|Q25094849|Q484641|Q9778,alternative rock|art pop|electronic music|electropop|hip-hop|indie rock|pop rock|trip hop,"Electronic and dance|Other genres|Pop, soul and R&B|Rock and indie",Q203059|Q208909|Q843402,Parlophone|Virgin Records|Warner Bros. Records,Q2592590|Q2628482|Q272069|Q30688775|Q3699832|Q522966|Q82923|Q93495722|Q935785,2-D|Ace|Cyborg Noodle|Jamie Hewlett|Murdoc Niccals|Noodle|Remi Kabaka Jr|Russel Hobbs,Gorillaz,strict,UK001F,London,12666099.0,True,True,True,1990
10,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Q1299,37927636,32385954,The Beatles,1960.0,Q11399|Q1641839|Q186472|Q193355|Q206159|Q235858|Q37073|Q546264|Q56351111|Q7749|Q83270,beat music|blues rock|classic rock|experimental rock|folk rock|hard rock|pop music|psychedelic rock|rock and roll|rock music|traditional folk music,"Other genres|Pop, soul and R&B|Rock and indie",Q1542119|Q155152|Q193023|Q208909|Q213710|Q3790169|Q3896178|Q679007,Apple Records|Capitol Records|I Dischi dello Zodiaco|Parlophon|Parlophone|Polydor Records|United Artists Records|Vee-Jay Records,Q1203|Q204218|Q207335|Q2599|Q2632|Q2643|Q5087041|Q5992927,Chas Newby|George Harrison|John Lennon|Paul McCartney|Pete Best|Ringo Starr|Stuart Sutcliffe|Tommy Moore,The Beatles,strict,UK006F,Liverpool,1597536.0,True,True,True,1960
