popularity_rank,spotify_name,returned_spotify_id,monthly_listeners,origin_cluster,mapping_tier,mapping_method,fua_code,official_fua_name,study_city_label,population_year,population,notes
1,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,92034104,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
2,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,52301870,Sheffield,strict,official_oecd_municipality_crosswalk,UK010F,Sheffield,Sheffield,2024.0,1217504.0,The official OECD municipality list assigns Sheffield to Sheffield FUA.
3,Queen,1dfeR4HaWDbWqFHLkxsg1d,51601234,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
4,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,50959935,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
5,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,45724043,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
6,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,43168156,Oxford,strict,official_oecd_municipality_crosswalk,UK560F,Oxford,Oxford,2024.0,606748.0,The official OECD municipality list assigns Oxford to Oxford FUA.
7,The Police,5NGO30tJxFlKixkPSgXcFE,39887109,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
8,Oasis,2DaxqgrOhkeH0fpeiQq2f4,39676473,Manchester,strict,official_oecd_municipality_crosswalk,UK008F,Manchester,Manchester,2024.0,3595966.0,The official OECD municipality list assigns Manchester to Manchester FUA.
9,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,38173160,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
10,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,37927636,Liverpool,strict,official_oecd_municipality_crosswalk,UK006F,Liverpool,Liverpool,2024.0,1597536.0,The official OECD municipality list assigns Liverpool to Liverpool FUA.
11,Clean Bandit,6MDME20pz9RveH9rEXvrOM,35453400,Cambridge,strict,official_oecd_municipality_crosswalk,UK017F,Cambridge,Cambridge,2024.0,414802.0,The official OECD municipality list assigns Cambridge to Cambridge FUA.
12,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,30690194,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
13,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,29286539,Redcliffe,excluded_non_uk,outside_uk_fua_universe,,,,,,Redcliffe is outside the UK FUA universe.
14,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,27093208,Oxford,strict,official_oecd_municipality_crosswalk,UK560F,Oxford,Oxford,2024.0,606748.0,The official OECD municipality list assigns Oxford to Oxford FUA.
15,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,26546155,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
16,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,26242776,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
17,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,25836943,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
18,The Cure,7bu3H8JO7d0UbMoVzbo70s,25827890,Crawley,strict,official_oecd_municipality_crosswalk,UK576F,Crawley,Crawley,2024.0,124008.0,The official OECD municipality list assigns Crawley to Crawley FUA.
19,Sade,47zz7sob9NUcODy0BTDvKx,25528819,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
20,Disclosure,6nS5roXSAGhTGr34W6n7Et,25360907,Reigate,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns Reigate and Banstead to London FUA.
21,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,23781006,Bath,strict,official_oecd_municipality_crosswalk,UK031F,Bath and North East Somerset,Bath and North East Somerset,2024.0,200028.0,The official OECD municipality list assigns Bath and North East Somerset to Bath and North East Somerset FUA.
22,Keane,53A0W3U0s8diEn9RhXQhVz,23259577,Battle,strict,official_oecd_municipality_crosswalk,UK056F,Hastings,Hastings,2024.0,187352.0,The official OECD municipality list assigns Rother to Hastings FUA.
23,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,22515532,Manchester,strict,official_oecd_municipality_crosswalk,UK008F,Manchester,Manchester,2024.0,3595966.0,The official OECD municipality list assigns Manchester to Manchester FUA.
24,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,22166012,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
25,Muse,12Chz98pHFMPJEknJQMWvI,20942571,Teignmouth,strict,official_oecd_municipality_crosswalk,UK018F,Exeter,Exeter,2024.0,520179.0,The official OECD municipality list assigns Teignbridge to Exeter FUA.
26,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,20605707,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
27,The 1975,3mIj9lX2MWuHmhNCA7LSCW,18915018,Manchester,strict,official_oecd_municipality_crosswalk,UK008F,Manchester,Manchester,2024.0,3595966.0,The official OECD municipality list assigns Manchester to Manchester FUA.
28,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,18330664,Birmingham,strict,official_oecd_municipality_crosswalk,UK002F,West Midlands urban area,Birmingham,2024.0,3247941.0,The official OECD municipality list assigns Birmingham to West Midlands urban area FUA.
29,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,18288641,Birmingham,strict,official_oecd_municipality_crosswalk,UK002F,West Midlands urban area,Birmingham,2024.0,3247941.0,The official OECD municipality list assigns Birmingham to West Midlands urban area FUA.
30,The Outfield,1zxDewzd2j1ZdSBGaYcr0y,17941634,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
31,Depeche Mode,762310PdDnwsDxAQxzQkfX,17667155,Basildon,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns Basildon to London FUA.
32,America,35U9lQaRWSQISxQAB94Meo,17384987,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
33,The Verve,2cGwlqi3k18jFpUyTrsR84,16374768,Manchester,strict,official_oecd_municipality_crosswalk,UK008F,Manchester,Manchester,2024.0,3595966.0,The official OECD municipality list assigns Manchester to Manchester FUA.
34,Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,15134650,Birmingham,strict,official_oecd_municipality_crosswalk,UK002F,West Midlands urban area,Birmingham,2024.0,3247941.0,The official OECD municipality list assigns Birmingham to West Midlands urban area FUA.
35,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,14843560,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
36,Little Mix,3e7awlrlDSwF3iM0WBjGMp,14779473,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
37,The Clash,3RGLhK1IP9jnYFH4BRFJBS,14589467,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
38,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,14381934,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
39,Blur,7MhMgCo0Bl0Kukl93PZbYS,14009757,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
40,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,13707032,Sheffield,strict,official_oecd_municipality_crosswalk,UK010F,Sheffield,Sheffield,2024.0,1217504.0,The official OECD municipality list assigns Sheffield to Sheffield FUA.
41,Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp,13274460,Dundee,strict,official_oecd_municipality_crosswalk,UK550F,Dundee City,Dundee City,2024.0,264690.0,"The official OECD municipality list assigns Angus, Dundee City to Dundee City FUA."
42,Spice Girls,0uq5PttqEjj3IH1bzwcrXF,12877807,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
43,The Animals,3ICflSq6ZgYAIrm2CTkfVP,12324330,Newcastle upon Tyne,strict,official_oecd_municipality_crosswalk,UK013F,Newcastle upon Tyne,Newcastle,2024.0,1221203.0,"The official OECD municipality list assigns Newcastle upon Tyne, Northumberland to Newcastle upon Tyne FUA."
44,Rudimental,4WN5naL3ofxrVBgFpguzKo,11737472,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
45,Faithless,5T4UKHhr4HGIC0VzdZQtAE,11726956,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
46,Disciples,5EehXjjMktLuJmbRsM7YfB,11691137,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
47,Jungle,59oA5WbbQvomJz2BuRG071,11614048,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
48,bôa,5jTtGLk1mGFMY5lQOvJYUj,11444869,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
49,Cutting Crew,3cniTumSiUysiPWXapGx1i,10972839,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
50,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,10807735,Glasgow,strict,official_oecd_municipality_crosswalk,UK004F,Glasgow,Glasgow,2024.0,1895840.0,"The official OECD municipality list assigns East Dunbartonshire, Glasgow City, North Lanarkshire to Glasgow FUA."
51,Def Leppard,6H1RjVyNruCmrBEWRbD0VZ,10792689,Sheffield,strict,official_oecd_municipality_crosswalk,UK010F,Sheffield,Sheffield,2024.0,1217504.0,The official OECD municipality list assigns Sheffield to Sheffield FUA.
52,Pet Shop Boys,2ycnb8Er79LoH2AsR5ldjh,10634217,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
53,The Hollies,6waa8mKu91GjzD4NlONlNJ,10112715,Manchester,strict,official_oecd_municipality_crosswalk,UK008F,Manchester,Manchester,2024.0,3595966.0,The official OECD municipality list assigns Manchester to Manchester FUA.
54,Wham!,5lpH0xAS4fVfLkACg9DAuM,10018855,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
55,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,9884423,Bangor,strict,official_oecd_municipality_crosswalk,UK012F,Belfast,Belfast,2024.0,817574.0,The official OECD municipality list assigns Ards and North Down to Belfast FUA.
56,The Stranglers,0RUEHcBiENFEqxgicqS2ig,9836875,Guildford,strict,official_oecd_municipality_crosswalk,UK033F,Guildford,Guildford,2024.0,285643.0,The official OECD municipality list assigns Guildford to Guildford FUA.
57,Simple Minds,6hN9F0iuULZYWXppob22Aj,9628717,Glasgow,strict,official_oecd_municipality_crosswalk,UK004F,Glasgow,Glasgow,2024.0,1895840.0,"The official OECD municipality list assigns East Dunbartonshire, Glasgow City, North Lanarkshire to Glasgow FUA."
58,Bronski Beat,2wpWOzQE5TpA0dVnh5YD08,9566679,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
59,Seafret,4Ly0KABsxlx4fNj63zJTrF,9520023,Bridlington,strict,official_oecd_municipality_crosswalk,UK026F,Kingston upon Hull,Hull,2024.0,631285.0,The official OECD municipality list assigns East Riding of Yorkshire to Kingston upon Hull FUA.
60,Genesis,3CkvROUTQ6nRi9yQOcsB50,9434858,Godalming,strict,official_oecd_municipality_crosswalk,UK033F,Guildford,Guildford,2024.0,285643.0,The official OECD municipality list assigns Waverley to Guildford FUA.
61,Spandau Ballet,2urZrEdsq72kx0UzfYN8Yv,9335819,London,strict,official_oecd_municipality_crosswalk,UK001F,London,London,2024.0,12666099.0,The official OECD municipality list assigns City of London to London FUA.
62,UB40,69MEO1AADKg1IZrq2XLzo5,9327767,Birmingham,strict,official_oecd_municipality_crosswalk,UK002F,West Midlands urban area,Birmingham,2024.0,3247941.0,The official OECD municipality list assigns Birmingham to West Midlands urban area FUA.
63,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,9143502,Manchester,strict,official_oecd_municipality_crosswalk,UK008F,Manchester,Manchester,2024.0,3595966.0,The official OECD municipality list assigns Manchester to Manchester FUA.
64,Simply Red,1fa0cOhromAZdq2xRA4vv8,9097250,Manchester,strict,official_oecd_municipality_crosswalk,UK008F,Manchester,Manchester,2024.0,3595966.0,The official OECD municipality list assigns Manchester to Manchester FUA.
